nameJp,nameJpS,countryCode,countryCodeThreeLetter,regionCode,capitalJp,secondCapitalJp,isIsland,lat,lon,landLocked,nameJpB,nameJpBAbbr,population,borders.0,borders.1,borders.2,borders.3,borders.4,borders.5,borders.6,borders.7,borders.8,borders.9,borders.10,borders.11,borders.12,borders.13,borders.14,regionalBlocks.0,regionalBlocks.1,regionalBlocks.2,area
アブハジア自治共和国,アブハジア,AB,ABK,Asia,スフミ,,false,43.003333,41.015278,,,,243564,RUS,GE,,,,,,,,,,,,,,,,,8660
アフガニスタン・イスラム共和国,アフガニスタン,AF,AFG,Asia,カブール,カンダハール,false,34.528455,69.1717029,Single,亜加業坦,,27657145,IRN,PK,TM,UZ,TJ,CN,,,,,,,,,,UN,SAARC,,652864
アンゴラ共和国,アンゴラ,AO,AGO,Europe,ルアンダ,ウアンボ,false,-8.8383333,13.2344444,,安哥拉,,25868000,COG,CD,ZM,NA,,,,,,,,,,,,UN,AU,,1246700
アルバニア共和国,アルバニア,AL,ALB,Europe,ティラナ,ドゥラス,false,41.33165,19.8318,,阿爾巴尼亜,,2886026,MNE,GR,MK,KS,,,,,,,,,,,,UN,CEFTA,,28748
アンドラ公国,アンドラ,AD,AND,Europe,アンドララベラ,,false,42.4919826,1.5111806,Single,安徳爾拉,,78014,FRA,ES,,,,,,,,,,,,,,UN,,,468
アラブ首長国連邦,アラブ首長国連邦,AE,ARE,Asia,アブダビ,,false,24.4666667,54.3666667,,阿拉伯首長国連邦,,9856000,OMN,SA,,,,,,,,,,,,,,UN,AL,,83600
アルゼンチン共和国,アルゼンチン,AR,ARG,SouthAmerica,ブエノスアイレス,コルドバ,false,-34.6037232,-58.3815931,,亜爾然丁,亜,43590400,BOL,BR,CL,PY,UY,,,,,,,,,,,UN,USAN,,2780400
アルメニア共和国,アルメニア,AM,ARM,Europe,エレバン,ギュムリ,false,40.183333,44.516667,Single,亜爾美尼亜,,2994400,AZE,GE,IR,TR,,,,,,,,,,,,UN,EEU,,29743
アンティグア・バーブーダ,アンティグア・バーブーダ,AG,ATG,NorthAmerica,セントジョンズ,,true,17.117528,-61.845557,,安提瓜和巴布達,,86295,,,,,,,,,,,,,,,,UN,CARICOM,,442
オーストラリア連邦,オーストラリア,AU,AUS,Oceania,キャンベラ,メルボルン,false,-35.3082355,149.1242241,,豪太剌利,豪,24117360,,,,,,,,,,,,,,,,UN,,,7692024
オーストリア共和国,オーストリア,AT,AUT,Europe,ウィーン,グラーツ,false,48.2081743,16.3738189,Single,墺太利,墺,8725931,CZE,DE,HU,IT,LI,SK,SI,CH,,,,,,,,UN,EU,,83871
アゼルバイジャン共和国,アゼルバイジャン,AZ,AZE,Asia,バクー,ギャンジャ,false,40.4349504,49.8676232,,亜塞爾拝然,,9730500,ARM,GE,IR,RU,TR,,,,,,,,,,,UN,,,86600
ブルンジ共和国,ブルンジ,BI,BDI,Africa,ブシュンブラ,ギテガ,false,-3.376217,29.359349,Single,布隆迪,,10114505,COD,RW,TZ,,,,,,,,,,,,,UN,AU,,27834
ベルギー王国,ベルギー,BE,BEL,Europe,ブリュッセル,アントウェルペン,false,50.8503396,4.3517103,Sub,白耳義,白,11319511,FRA,DE,LU,NL,,,,,,,,,,,,UN,EU,,30528
ベナン共和国,ベナン,BJ,BEN,Africa,ポルトノボ,,false,6.478353,2.632503,,貝南,,10653654,BFA,NE,NG,TG,,,,,,,,,,,,UN,AU,,114763
ブルキナファソ,ブルキナファソ,BF,BFA,Africa,ワガドゥグー,ボボ・ディウラッソ,false,12.364637,-1.5338639,Single,布基納法索,,19034397,BEN,CI,GH,ML,NE,TG,,,,,,,,,,UN,AU,,272967
バングラデシュ人民共和国,バングラデシュ,BD,BGD,Asia,ダッカ,チッタゴン,false,23.709921,90.407143,,孟加拉,,161006790,MMR,IN,,,,,,,,,,,,,,UN,SAARC,,147570
ブルガリア共和国,ブルガリア,BG,BGR,Europe,ソフィア,プロヴディフ,false,42.6978388,23.3216697,,勃牙利,勃,7153784,GRC,MK,RO,RS,TR,,,,,,,,,,,UN,EU,,110879
バーレーン王国,バーレーン,BH,BHR,Asia,マナーマ,ムハッラク,true,26.2166667,50.5833333,,巴林,,1404900,,,,,,,,,,,,,,,,UN,AL,,758
バハマ国,バハマ,BS,BHS,NorthAmerica,ナッソー,フリーポート,true,25.06,-77.345,,巴哈麻,,378040,,,,,,,,,,,,,,,,UN,CARICOM,,13943
ボスニア・ヘルツェゴビナ,ボスニア・ヘルツェゴビナ,BA,BIH,Europe,サラエボ,バニャ・ルカ,false,43.8562586,18.4130763,Sub,波斯尼亜塞哥維那,,3531159,HRV,ME,RS,,,,,,,,,,,,,UN,CEFTA,,51209
ベラルーシ共和国,ベラルーシ,BY,BLR,Europe,ミンスク,ホメリ,false,53.9,27.5666667,Single,白露西亜,,9498700,LVA,LT,PL,RU,UA,,,,,,,,,,,UN,EEU,,207600
ベリーズ,ベリーズ,BZ,BLZ,NorthAmerica,ベルモパン,オレンジウォーク,false,17.2513889,-88.7669444,,百里斯,,370300,GTM,MX,,,,,,,,,,,,,,UN,CARICOM,CAIS,22966
ボリビア多民族国,ボリビア,BO,BOL,SouthAmerica,ラパス,サンタ・クルス・デ・ラ・シエラ,false,-16.4990099,-68.146248,Single,玻里非,波,10985059,ARG,BR,CL,PY,PE,,,,,,,,,,,UN,USAN,,1098581
ブラジル連邦共和国,ブラジル,BR,BRA,SouthAmerica,ブラジリア,リオデジャネイロ,false,-15.7801482,-47.9291698,,伯剌西爾,伯,206135893,ARG,BO,CO,,GY,PY,PE,SR,UY,VE,,,,,,UN,USAN,,8514877
バルバドス,バルバドス,BB,BRB,NorthAmerica,ブリッジタウン,,true,13.098938,-59.613352,,巴巴突,,285000,,,,,,,,,,,,,,,,UN,CARICOM,,430
ブルネイ・ダルサラーム国,ブルネイ,BN,BRN,Asia,バンダルスリブガワン,クアラブライト,true,4.8902778,114.9422222,,文莱,,411900,MYS,,,,,,,,,,,,,,,UN,ASEAN,,5765
ブータン王国,ブータン,BT,BTN,Asia,ティンプー,パロ,false,27.44261,89.667328,Single,不丹,,775620,CHN,IN,,,,,,,,,,,,,,UN,SAARC,,38394
ボツワナ共和国,ボツワナ,BW,BWA,Africa,ハボローネ,フランシスタウン,false,-24.65411,25.908739,Single,博茨瓦納,,2141206,NAM,ZA,ZM,ZW,,,,,,,,,,,,UN,AU,,582000
中央アフリカ共和国,中央アフリカ,CF,CAF,Africa,バンギ,ベルベラティ,false,4.361698,18.555975,,中央阿弗利加,,4998000,CMR,TD,CD,CG,SS,SD,,,,,,,,,,UN,AU,,622984
カナダ,カナダ,CA,CAN,NorthAmerica,オタワ,モントリオール,false,45.4215296,-75.6971931,,加奈陀,加,36155487,USA,,,,,,,,,,,,,,,UN,NAFTA,,9984670
スイス連邦,スイス,CH,CHE,Europe,ベルン,ジュネーヴ,false,46.9479222,7.4446085,Single,瑞西,瑞,8341600,AUT,FR,IT,LI,DE,,,,,,,,,,,UN,EFTA,,41285
チリ共和国,チリ,CL,CHL,SouthAmerica,サンティアゴ,コンセプシオン,false,-33.4691199,-70.641997,,智利,智,18191900,ARG,BO,PE,,,,,,,,,,,,,UN,PA,USAN,756102
中華人民共和国,中国,CN,CHN,Asia,北京,,false,39.90403,116.407526,,,,1377422166,AFG,BT,MM,,IN,KZ,KP,KG,LA,,MN,PK,RU,TJ,VN,UN,,,9572900
